speaker,length,consonant,word,c_length,word_place,frame,
M02,0.467965,mw,lemmw,long,final,1,
M02,0.451171,mw,rommw,long,final,2,
M02,0.353116,mw,lemmw,long,final,2,
F02,0.284113,l,lallal,long,medial,3,
M01,0.277727,m,kommoal,long,medial,2,
M01,0.264321,n,urenna,long,medial,2,
M02,0.26,m,kommoal,long,medial,2,
F02,0.246965,m,mmed,long,initial,1,
F02,0.237385,mw,mmwus,long,medial,3,
M01,0.236947,n,urenna,long,medial,3,
M02,0.232948,m,kommoal,long,medial,3,
F02,0.227565,mw,lemmw,long,final,2,
F02,0.216822,m,med,short,medial,3,medial?
M02,0.215412,m,mmed,long,initial,2,
M02,0.215366,mw,mmwus,long,initial,2,
M02,0.210275,l,kull,long,final,3,
F02,0.199611,l,lallal,long,medial,2,
M01,0.199005,m,kommoal,long,medial,1,
F02,0.197461,m,kommoal,long,medial,3,
F02,0.195242,l,kull,long,final,3,
M02,0.192301,mw,rommw,long,final,3,
F02,0.189403,m,kommoal,long,medial,1,
M02,0.187719,m,mmed,long,initial,1,
F02,0.187498,m,med,short,medial,2,
F02,0.18721,mw,lemmw,long,final,3,
F01,0.186088,mw,mwus,short,initial,3,
F01,0.183635,mw,lemmw,long,final,1,
M01,0.183528,l,kul,short,final,1,
M02,0.182426,m,kommoal,long,medial,1,
F01,0.181038,n,urenna,long,medial,1,
F01,0.180835,mw,lewemw,short,final,2,
M01,0.1803,l,kull,long,final,1,
M01,0.178358,m,kommoal,long,medial,3,
M01,0.177008,mw,rommw,long,final,1,
F02,0.176362,mw,mwus,short,medial,3,
M01,0.176173,l,lallal,long,medial,1,
F02,0.176063,mw,mmwus,long,medial,2,
F02,0.174171,m,kommoal,long,medial,2,
M02,0.173707,r,rerrer,long,medial,3,
M01,0.172715,mw,lemmw,long,final,2,
M01,0.171272,mw,rohmw,short,final,1,
M02,0.170599,mw,rommw,long,final,1,
M02,0.17021,l,mwell,long,final,3,
M01,0.169476,l,mwell,long,final,1,
F02,0.169135,mw,mwus,short,medial,2,
M01,0.168755,l,kul,short,final,3,
F01,0.168728,m,kommoal,long,medial,3,
M02,0.168614,l,mall,long,final,2,
F01,0.167994,n,urenna,long,medial,3,
M01,0.167163,l,lallal,long,medial,2,
F01,0.165862,n,urenna,long,medial,2,
F02,0.164851,r,rerrer,long,medial,2,
M01,0.164006,mw,lewemw,short,final,1,
F02,0.162348,l,kull,long,final,2,
F01,0.16191,l,lallal,long,medial,2,
F02,0.160072,n,urenna,long,medial,3,
F02,0.159681,mw,lewemw,short,final,2,
F02,0.159151,l,mwehl,short,final,2,
M02,0.159024,m,mmed,long,initial,3,
F02,0.157256,l,lallal,long,medial,1,
F02,0.157171,n,urenna,long,medial,2,
M02,0.156088,mw,rohmw,short,final,3,
F02,0.155866,mw,lemmw,long,final,1,
F01,0.15582,m,kommoal,long,medial,2,
F02,0.155377,m,mmed,long,initial,2,
F01,0.154879,l,lallal,long,medial,1,
F01,0.154817,mw,lemmw,long,final,3,
M01,0.154517,mw,kamwus,short,medial,3,
M02,0.153067,m,komala,short,medial,2,
F01,0.152634,n,mwenei,short,medial,1,
F01,0.152609,mw,rohmw,short,final,1,
M01,0.152263,mw,lewemw,short,final,2,
F02,0.152018,mw,rohmw,short,final,2,
F01,0.151173,r,rerrer,long,medial,3,
F01,0.151143,mw,lemmw,long,final,2,
M01,0.150587,l,kul,short,final,2,
F01,0.149414,mw,rommw,long,final,3,
M01,0.149049,mw,rommw,long,final,2,
F02,0.148556,r,rerrer,long,medial,3,
M02,0.147426,n,mwenei,short,medial,2,
M01,0.147366,l,mall,long,final,1,
F01,0.147338,m,kommoal,long,medial,1,
M01,0.147215,l,mwehl,short,final,2,
M02,0.146543,l,lallal,long,medial,2,
F01,0.14641,mw,rohmw,short,final,3,
F01,0.146098,r,rerrer,long,medial,2,
M01,0.145383,r,rerrer,long,medial,1,
M02,0.143696,mw,lemmw,long,final,3,
F02,0.143094,m,mwell,short,medial,3,
F01,0.142288,m,mmed,long,initial,2,
F02,0.14209,l,mwell,long,final,2,
M01,0.141979,l,mwehl,short,final,1,
M02,0.141706,mw,rohmw,short,final,1,
F01,0.140233,mw,rommw,long,final,2,
F01,0.139366,m,med,short,initial,2,
M02,0.137554,n,urenna,long,medial,3,
F02,0.137386,mw,rommw,short,final,2,
M02,0.135108,mw,lewemw,short,final,1,
F01,0.135038,r,rerrer,long,medial,1,
F01,0.134575,l,mwell,long,final,2,
F02,0.134501,mw,mwell,short,initial,2,
M02,0.13401,mw,kammwus,long,medial,1,
F02,0.132576,l,kul,short,final,2,
M01,0.131966,mw,kammwus,long,medial,2,
M01,0.131562,mw,rohmw,short,final,3,
F01,0.130837,mw,kamwus,short,medial,1,
M02,0.13057,l,mall,long,final,3,
M01,0.130361,l,mwell,long,final,3,
F02,0.129493,r,rere,short,medial,2,
F01,0.128059,l,mwehl,short,final,2,
F01,0.127553,l,mall,long,final,1,
F02,0.127354,m,mmed,long,initial,3,
M01,0.126833,l,kull,long,final,3,
M02,0.1266,mw,mwell,short,initial,1,
M01,0.124969,l,mwell,long,final,2,
F02,0.124864,mw,rohmw,short,final,3,
F01,0.124727,m,med,short,initial,3,
M02,0.12411,l,lallal,long,medial,3,
F02,0.123838,l,mall,long,final,2,
F01,0.123758,mw,kamwus,short,medial,2,
F02,0.123612,r,rerrer,long,medial,1,
F01,0.123484,l,mall,long,final,3,
F02,0.123127,mw,mmwen,long,initial,2,
M02,0.122272,r,rerrer,long,medial,2,
F02,0.122088,l,mwell,long,final,3,
M01,0.121993,l,mwehl,short,final,3,
F01,0.121932,mw,lewemw,short,final,1,
M01,0.121699,l,mall,long,final,2,
M02,0.121646,l,kull,long,final,1,
M01,0.121286,mw,kammwus,long,medial,3,
M02,0.121083,n,urenna,long,medial,2,
F02,0.120908,l,kull,long,final,1,
M02,0.120428,l,kul,short,final,1,
F02,0.118721,n,mwenei,short,medial,3,
F01,0.11867,n,mwenei,short,medial,3,
M02,0.118637,m,komala,short,medial,3,
F01,0.118144,l,lallal,long,medial,3,
F01,0.117824,r,rere,short,medial,3,
M02,0.117635,l,mwehl,short,final,3,
M02,0.117317,n,urenna,long,medial,1,
M01,0.11715,mw,lemmw,long,final,1,
M02,0.116936,mw,mmwus,long,initial,3,
M01,0.116605,mw,kammwus,long,medial,1,
F02,0.116126,mw,mwehl,short,initial,3,
F02,0.115867,l,mwehl,short,final,3,
M01,0.115795,l,komala,short,medial,3,
M02,0.115291,l,mall,long,final,1,
M01,0.114944,mw,rohmw,short,final,2,
F02,0.114636,mw,rommw,long,final,1,
F02,0.114445,l,kul,short,final,3,
F01,0.113914,n,mwenei,short,medial,2,
F02,0.113846,n,mwenei,short,medial,2,
F02,0.113777,n,urenna,long,medial,1,
M01,0.113138,m,komala,short,medial,1,
F01,0.112999,m,komala,short,medial,1,
F02,0.112861,mw,kammwus,long,medial,1,
M01,0.11265,m,mmed,long,initial,2,
M01,0.111953,mw,kamwus,short,medial,2,
F02,0.111924,mw,kammwus,long,medial,2,
M02,0.111638,mw,kammwus,long,medial,3,
F01,0.111014,mw,rohmw,short,final,2,
F02,0.110843,l,kul,short,final,1,
M01,0.110757,mw,rommw,long,final,3,
F02,0.109581,mw,kammwus,long,medial,3,
F01,0.108762,l,kull,long,final,1,
F01,0.108601,mw,mwus,short,initial,2,
F02,0.108477,mw,mmwen,long,initial,3,
M01,0.108214,l,komala,short,medial,1,
F02,0.10803,mw,kamwus,short,medial,2,
F01,0.106667,l,kul,short,final,1,
F01,0.106023,r,rere,short,medial,2,
F02,0.105888,n,mwenei,short,medial,1,
M01,0.105384,l,mall,long,final,3,
M01,0.105174,l,kull,long,final,2,
M02,0.104665,mw,lewemw,short,final,2,
F01,0.10414,l,mwehl,short,final,3,
F02,0.104089,l,mwell,long,final,1,
M01,0.103697,mw,lemmw,long,final,3,
F01,0.103566,m,komala,short,medial,2,
F01,0.101182,mw,lewemw,short,final,3,
M01,0.10072,mw,lewemw,short,final,3,
M01,0.100587,m,mmed,long,initial,1,
F02,0.100349,m,komala,short,medial,2,
F01,0.098845,m,mmed,long,initial,3,
M01,0.098761,n,mwenei,short,medial,1,
F01,0.098649,m,kamwus,short,medial,3,
M02,0.097638,mw,kamwus,short,medial,3,
F02,0.097497,mw,kamwus,short,medial,3,
F01,0.097301,l,kull,long,final,2,
F01,0.09726,m,mmed,long,initial,1,
F02,0.09689,m,med,short,initial,1,
F01,0.096868,l,kull,long,final,3,
F01,0.096726,m,med,short,initial,1,
F02,0.096439,m,komala,short,medial,3,
F02,0.095752,mw,rommw,long,final,3,
F01,0.095746,l,komala,short,medial,2,
M02,0.09571,l,lallal,long,medial,1,
M02,0.095678,r,rerrer,long,medial,1,
F01,0.095164,m,komala,short,medial,3,
M02,0.094954,m,komala,short,medial,1,
M01,0.094767,mw,kamwus,short,medial,1,
M02,0.094476,mw,mmwen,long,initial,2,
F01,0.094033,r,rere,short,medial,1,
F02,0.093289,mw,lewemw,short,final,1,
F02,0.093252,l,komala,short,medial,2,
F01,0.092963,l,kul,short,final,3,
M01,0.09211,m,komala,short,medial,2,
M02,0.091919,n,mwenei,short,medial,3,
F01,0.091454,mw,rommw,long,final,1,
M01,0.091443,m,komala,short,medial,3,
F02,0.091338,l,komala,short,medial,3,
F02,0.091053,l,mwehl,short,final,1,
M01,0.090842,n,mwenei,short,medial,2,
F01,0.089927,mw,kammwus,long,medial,2,
F01,0.089912,mw,kammwus,long,medial,3,
M01,0.089735,l,lallal,long,medial,3,
M01,0.089635,mw,mmwen,long,initial,1,
M02,0.089275,m,komala,short,medial,1,
M01,0.088264,r,rerrer,long,medial,2,
F01,0.088137,l,mwehl,short,final,1,
F02,0.088105,mw,kamwus,short,medial,1,
M01,0.088056,l,komala,short,medial,2,
M01,0.086961,m,mmed,long,initial,3,
M01,0.086797,mw,mmwus,long,initial,3,
F01,0.08667,mw,mwus,short,initial,1,
M02,0.086177,mw,kammwus,long,medial,2,
F02,0.085538,mw,lewemw,short,final,3,
F02,0.085374,l,kommoal,short,final,1,
M01,0.085135,mw,mwus,short,initial,2,
F02,0.084772,m,mall,short,initial,3,
F01,0.084729,l,komala,short,medial,1,
M02,0.084401,l,komala,short,medial,3,
F02,0.084267,r,rere,short,medial,3,
M02,0.084203,mw,kamwus,short,medial,2,
M01,0.084105,mw,mmwen,long,initial,2,
F02,0.083445,mw,rohmw,short,final,1,
M02,0.083291,l,kul,short,final,3,
M02,0.083032,l,kul,short,final,2,
F02,0.082438,m,mall,short,initial,2,
F02,0.082352,mw,mmwus,long,initial,1,
F01,0.081856,l,komala,short,medial,3,
M01,0.080975,r,rerrer,long,medial,3,
F01,0.079675,mw,kammwus,long,medial,1,
M01,0.078511,n,urenna,long,medial,1,
F02,0.078499,l,mall,long,final,1,
F01,0.078172,l,kul,short,final,2,
M02,0.077474,l,mwell,long,final,1,
F01,0.076337,mw,mmwen,long,initial,3,
M01,0.074709,r,rere,short,medial,3,
M02,0.074615,mw,mwenei,short,initial,3,
M01,0.07375,n,mwenei,short,medial,3,
F02,0.073555,mw,mwenei,short,initial,1,
M02,0.073397,l,mwehl,short,final,1,
F02,0.07322,l,mall,long,final,3,
M01,0.073172,mw,mmwen,long,initial,3,
F02,0.072899,l,komala,short,medial,1,
F02,0.071621,mw,mmwen,long,initial,1,
F01,0.070572,l,mwell,long,final,1,
F02,0.069912,m,komala,short,medial,1,
F01,0.069799,mw,mmwen,long,initial,1,
F01,0.069613,l,mall,long,final,2,
M02,0.069575,l,komala,short,medial,2,
M02,0.068909,l,komala,short,medial,1,
M02,0.068849,r,rere,short,medial,1,
F02,0.068341,mw,mwell,short,initial,1,
M02,0.067529,m,med,short,initial,2,
M02,0.066934,mw,mwus,short,initial,1,
F02,0.066826,mw,mwenei,short,initial,2,
F02,0.066527,mw,mwehl,short,initial,1,
M02,0.066455,l,mwehl,short,final,2,
F01,0.065021,mw,mmwus,long,initial,1,
F02,0.064865,m,mall,short,initial,1,
M02,0.064195,mw,mwus,short,initial,3,
M01,0.06109,r,rere,short,medial,2,
F01,0.060777,mw,mwenei,short,initial,1,
M02,0.059298,r,rere,short,medial,2,
F01,0.058425,l,mwell,long,final,3,
F01,0.058399,mw,mwenei,short,initial,3,
M02,0.057888,mw,kamwus,short,medial,1,
F01,0.05341,mw,mmwus,long,initial,3,
M01,0.052985,mw,mwenei,short,initial,1,
F02,0.052945,mw,mwus,short,initial,1,
M02,0.052366,l,mwell,long,final,2,
F02,0.052213,r,rere,short,medial,1,
M02,0.05158,mw,mwenei,short,initial,2,
M01,0.05041,m,med,short,initial,1,
F02,0.049813,mw,mwenei,short,initial,3,
F01,0.049056,mw,mwenei,short,initial,2,
M01,0.048996,mw,mwenei,short,initial,2,
M01,0.048587,m,med,short,initial,3,
M01,0.045597,mw,mwus,short,initial,3,
M02,0.044299,m,med,short,initial,3,
M01,0.044253,mw,mwenei,short,initial,3,
M01,0.043154,mw,mmwus,long,initial,2,
M01,0.041839,mw,mwus,short,initial,1,
M02,0.041528,mw,mwus,short,initial,2,
M01,0.040751,m,med,short,initial,2,
M01,0.04054,mw,mmwus,long,initial,1,
M02,0.038985,m,med,short,initial,1,
M02,0.03635,l,kull,long,final,2,
M02,0.03359,mw,lewemw,short,final,3,
F01,0.029936,mw,mmwus,long,initial,2,
M01,0.017135,r,rere,short,medial,1,
